top - 22:42:26 up  8:05,  1 user,  load average: 0.27, 0.46, 0.60
Tasks: 481 total, 2 running, 479 sleep, 0 d-sleep, 0 stopped, 0 zombie
%Cpu(s):  0.6 us,  2.0 sy,  3.7 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  43913.1 total,  13283.7 free,  11714.1 used,  19639.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  32199.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1494 art207    39  19 1020572  69416  17924 S  67.1   0.2   0:35.58 localse+
   1095 art207    20   0 5527352   1.6g 218100 S   9.6   3.7  61:50.01 gnome-s+
  63085 art207    39  19  724340  40264  32560 S   9.6   0.1   0:00.03 localse+
  16864 art207    20   0   19.1g 346676 120204 S   4.8   0.8   1:05.52 WebExte+
  63086 art207    20   0   10524   5864   3716 R   4.8   0.0   0:00.01 top
      1 root      20   0   20788  15360  11108 S   0.0   0.0   0:02.15 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.62 ksoftir+
     16 root      -2   0       0      0      0 I   0.0   0.0   0:23.03 rcu_pre+
     17 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcub/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.02 rcu_exp+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:06.11 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kprobe-+
